file,sim_idx,snap,z,z_idx,alpha,target_F,median,std,max_abs_dev
sim0_snap20.npz,0,20,2.4,11,0.6555563811131029,0.8769622823727025,0.9999999800846486,1.9652411833072774e-07,6.447663932762637e-07
sim0_snap20.npz,0,20,2.4,11,0.7266816590230517,0.8645588674076371,0.9999999514168376,2.0848386306039311e-07,7.44511561179273e-07
sim0_snap20.npz,0,20,2.4,11,0.7978069369330005,0.8523308815412775,0.9999998934084764,2.168189476660006e-07,8.283233388084454e-07
sim0_snap20.npz,0,20,2.4,11,0.8689322148429494,0.8402758435723772,0.9999998588419432,2.255742232264818e-07,8.688754872254734e-07
sim0_snap20.npz,0,20,2.4,11,0.9400574927528981,0.8283913073928393,0.9999999428477193,2.3119393204357825e-07,8.005389806609031e-07
sim0_snap20.npz,0,20,2.4,11,1.0111827706628471,0.8166748614913727,1.0000000085632332,2.3359088745376884e-07,8.61001333785083e-07
sim0_snap20.npz,0,20,2.4,11,1.0823080485727958,0.8051241284641685,0.9999998836803193,2.3933390121584314e-07,1.0533024163983384e-06
sim0_snap20.npz,0,20,2.4,11,1.1534333264827445,0.7937367645324965,0.9999998836674712,2.4101738160570744e-07,1.0320242290751125e-06
sim0_snap20.npz,0,20,2.4,11,1.2245586043926935,0.7825104590671255,0.9999999216112702,2.3539982962528207e-07,9.520879717950237e-07
sim0_snap20.npz,0,20,2.4,11,1.2956838823026422,0.7714429341194694,0.9999999687409102,2.3227997738129006e-07,9.901555305669163e-07
sim0_snap16.npz,0,16,3.0,8,0.6555563811131029,0.7885135412901221,0.999999954337043,7.541881453806516e-08,2.2387775344689942e-07
sim0_snap16.npz,0,16,3.0,8,0.7266816590230517,0.7684460047279383,1.000000040340642,8.267626287171192e-08,2.663383171785938e-07
sim0_snap16.npz,0,16,3.0,8,0.7978069369330005,0.7488891835848148,1.000000035827582,8.726557698128204e-08,3.3395628862287197e-07
sim0_snap16.npz,0,16,3.0,8,0.8689322148429494,0.7298300802395209,1.0000000042001713,8.94588230005331e-08,2.8052484257745647e-07
sim0_snap16.npz,0,16,3.0,8,0.9400574927528981,0.7112560278580928,0.9999999621647423,8.741570512742004e-08,3.014725155070508e-07
sim0_snap16.npz,0,16,3.0,8,1.0111827706628471,0.6931546819753538,1.0000000036072554,8.904746078624354e-08,2.877755493901901e-07
sim0_snap16.npz,0,16,3.0,8,1.0823080485727958,0.6755140122906829,0.9999999018207575,9.262665391578306e-08,3.570063132896095e-07
sim0_snap16.npz,0,16,3.0,8,1.1534333264827445,0.6583222946725792,0.9999999217620792,9.717008466828809e-08,3.3604116767005365e-07
sim0_snap16.npz,0,16,3.0,8,1.2245586043926935,0.6415681033667106,1.000000041671806,9.452498592437585e-08,2.910535630284983e-07
sim0_snap16.npz,0,16,3.0,8,1.2956838823026422,0.6252403034022642,1.0000000536797264,9.380597362950202e-08,3.475910490546852e-07
sim0_snap11.npz,0,11,4.0,3,0.6555563811131029,0.5847851780276513,0.9999999710089468,4.956586962444756e-08,1.9606312684494753e-07
sim0_snap11.npz,0,11,4.0,3,0.7266816590230517,0.5517170196370239,1.0000001016067102,6.099206488821352e-08,2.2562021761984852e-07
sim0_snap11.npz,0,11,4.0,3,0.7978069369330005,0.5205187839811618,1.000000006247367,5.745093285974887e-08,1.6930172441753655e-07
sim0_snap11.npz,0,11,4.0,3,0.8689322148429494,0.4910847315449492,0.9999999919226801,5.743405765185582e-08,1.7078203884413057e-07
sim0_snap11.npz,0,11,4.0,3,0.9400574927528981,0.46331510212185323,1.0000000100355622,5.6151722614982563e-08,1.659469719417217e-07
sim0_snap11.npz,0,11,4.0,3,1.0111827706628471,0.4371157766987818,1.0000000583348785,5.4448520871672976e-08,1.951981618564247e-07
sim0_snap11.npz,0,11,4.0,3,1.0823080485727958,0.4123979584605194,0.999999979454909,5.836481479978439e-08,1.6533846680655273e-07
sim0_snap11.npz,0,11,4.0,3,1.1534333264827445,0.38907787183257314,1.000000023589726,5.6688783237337506e-08,1.7857344025706823e-07
sim0_snap11.npz,0,11,4.0,3,1.2245586043926935,0.3670764785424044,1.0000000639970676,5.916099336073385e-08,2.0848970705422687e-07
sim0_snap11.npz,0,11,4.0,3,1.2956838823026422,0.34631920973669605,0.9999999526193047,6.526936788481912e-08,1.809017901033272e-07
sim0_snap8.npz,0,8,4.6,0,0.6555563811131029,0.4442446806942258,1.0000000300397753,5.749720591457527e-08,1.631201573815133e-07
sim0_snap8.npz,0,8,4.6,0,0.7266816590230517,0.4068090828494231,1.0000000595470382,6.24955548466385e-08,2.11438086372695e-07
sim0_snap8.npz,0,8,4.6,0,0.7978069369330005,0.3725281068760805,1.00000001933482,5.5482352131563467e-08,1.6605281194514987e-07
sim0_snap8.npz,0,8,4.6,0,0.8689322148429494,0.34113591918999414,1.0000000163669616,5.7782437455175976e-08,1.7226603588049727e-07
sim0_snap8.npz,0,8,4.6,0,0.9400574927528981,0.31238908746371014,0.999999966954914,5.6410008832769954e-08,2.1998153765245831e-07
sim0_snap8.npz,0,8,4.6,0,1.0111827706628471,0.28606469291807074,0.999999945010442,5.6143472456818216e-08,1.8726458550499814e-07
sim0_snap8.npz,0,8,4.6,0,1.0823080485727958,0.2619586016871239,1.000000005617375,5.382884901589183e-08,1.6092164623060512e-07
sim0_snap8.npz,0,8,4.6,0,1.1534333264827445,0.2398838818516019,1.000000029970522,6.273056370170749e-08,1.880113931207461e-07
sim0_snap8.npz,0,8,4.6,0,1.2245586043926935,0.21966935386577818,1.0000000864323353,5.251461310331514e-08,2.3423779960118907e-07
sim0_snap8.npz,0,8,4.6,0,1.2956838823026422,0.20115826313691218,1.0000000830463607,5.163779021446256e-08,2.3030898188558524e-07
sim29_snap19.npz,29,19,2.4,11,0.6555563811131029,0.8769622823727025,1.0000000245121305,6.619441921101023e-08,1.5189273883109422e-07
sim29_snap19.npz,29,19,2.4,11,0.7266816590230517,0.8645588674076371,0.9999999497654148,7.316407580606253e-08,3.590388480967377e-07
sim29_snap19.npz,29,19,2.4,11,0.7978069369330005,0.8523308815412775,0.9999999082167774,7.799620660029934e-08,3.567985153996034e-07
sim29_snap19.npz,29,19,2.4,11,0.8689322148429494,0.8402758435723772,0.9999999008111744,8.073792242499902e-08,4.3800914617531106e-07
sim29_snap19.npz,29,19,2.4,11,0.9400574927528981,0.8283913073928393,0.9999999629307567,8.011837188405529e-08,2.3210680555330043e-07
sim29_snap19.npz,29,19,2.4,11,1.0111827706628471,0.8166748614913727,1.0000000149865458,7.523304952544505e-08,2.404866245031556e-07
sim29_snap19.npz,29,19,2.4,11,1.0823080485727958,0.8051241284641685,0.9999999071642232,8.43349143123547e-08,3.0919776483617767e-07
sim29_snap19.npz,29,19,2.4,11,1.1534333264827445,0.7937367645324965,0.9999999459879294,8.545331717897403e-08,3.147215884569121e-07
sim29_snap19.npz,29,19,2.4,11,1.2245586043926935,0.7825104590671255,0.9999999546895824,8.440092416421044e-08,2.807121707304461e-07
sim29_snap19.npz,29,19,2.4,11,1.2956838823026422,0.7714429341194694,1.0000000061382501,9.20453450778156e-08,2.5365174505243004e-07
sim29_snap16.npz,29,16,3.0,8,0.6555563811131029,0.7885135412901221,1.0000002110026793,6.614383582179145e-07,2.682978785473189e-06
sim29_snap16.npz,29,16,3.0,8,0.7266816590230517,0.7684460047279383,1.0000002449332603,5.965762655939601e-07,2.399607796577108e-06
sim29_snap16.npz,29,16,3.0,8,0.7978069369330005,0.7488891835848148,1.0000001876122209,5.589125176557214e-07,2.2853268552003314e-06
sim29_snap16.npz,29,16,3.0,8,0.8689322148429494,0.7298300802395209,1.0000001402530851,5.151194274045493e-07,2.2206810377234376e-06
sim29_snap16.npz,29,16,3.0,8,0.9400574927528981,0.7112560278580928,1.0000001037815893,4.702994990871568e-07,1.9676788726163963e-06
sim29_snap16.npz,29,16,3.0,8,1.0111827706628471,0.6931546819753538,1.0000001147653221,4.4671954737417915e-07,1.941686597173309e-06
sim29_snap16.npz,29,16,3.0,8,1.0823080485727958,0.6755140122906829,0.999999981280117,4.1933121961621304e-07,1.938184280958488e-06
sim29_snap16.npz,29,16,3.0,8,1.1534333264827445,0.6583222946725792,1.0000000183070923,3.8916590641617906e-07,1.946329780344591e-06
sim29_snap16.npz,29,16,3.0,8,1.2245586043926935,0.6415681033667106,1.000000139695946,3.7427515183956913e-07,1.6849613813096909e-06
sim29_snap16.npz,29,16,3.0,8,1.2956838823026422,0.6252403034022642,1.0000001212901253,3.571090240480972e-07,1.6168425135409947e-06
sim29_snap11.npz,29,11,4.0,3,0.6555563811131029,0.5847851780276513,0.9999999927694992,2.7632447221405015e-07,1.135942114260935e-06
sim29_snap11.npz,29,11,4.0,3,0.7266816590230517,0.5517170196370239,1.0000001114941854,2.7708736100272386e-07,1.1131773063333128e-06
sim29_snap11.npz,29,11,4.0,3,0.7978069369330005,0.5205187839811618,1.0000000217113647,2.6775936963602364e-07,1.0991340062549426e-06
sim29_snap11.npz,29,11,4.0,3,0.8689322148429494,0.4910847315449492,1.000000001212222,2.593941995909587e-07,1.067150418698759e-06
sim29_snap11.npz,29,11,4.0,3,0.9400574927528981,0.46331510212185323,1.0000000214263567,2.568712224171955e-07,9.957068014543324e-07
sim29_snap11.npz,29,11,4.0,3,1.0111827706628471,0.4371157766987818,1.0000001001986334,2.4076262018079253e-07,1.0116321516040472e-06
sim29_snap11.npz,29,11,4.0,3,1.0823080485727958,0.4123979584605194,1.0000000342991657,2.4010877330500777e-07,1.1238484839415364e-06
sim29_snap11.npz,29,11,4.0,3,1.1534333264827445,0.38907787183257314,1.0000000471936317,2.2755369124504766e-07,1.0342779168670546e-06
sim29_snap11.npz,29,11,4.0,3,1.2245586043926935,0.3670764785424044,1.0000001187453393,2.1390675267663621e-07,8.842613308246428e-07
sim29_snap11.npz,29,11,4.0,3,1.2956838823026422,0.34631920973669605,0.9999999912979021,2.001975592155999e-07,9.5368728103562e-07
sim29_snap8.npz,29,8,4.6,0,0.6555563811131029,0.4442446806942258,1.0000000368092814,2.2782863257107923e-07,5.882911011667602e-07
sim29_snap8.npz,29,8,4.6,0,0.7266816590230517,0.4068090828494231,1.0000000504067401,2.141993402452652e-07,6.466255546566657e-07
sim29_snap8.npz,29,8,4.6,0,0.7978069369330005,0.3725281068760805,1.000000014820312,1.9761402018489875e-07,5.85437704092584e-07
sim29_snap8.npz,29,8,4.6,0,0.8689322148429494,0.34113591918999414,1.0000000279253576,1.9185097459320558e-07,5.90834051905631e-07
sim29_snap8.npz,29,8,4.6,0,0.9400574927528981,0.31238908746371014,0.9999999553066727,1.797896963389283e-07,5.266962691541366e-07
sim29_snap8.npz,29,8,4.6,0,1.0111827706628471,0.28606469291807074,0.9999999991757287,1.577538334760795e-07,5.191473251286993e-07
sim29_snap8.npz,29,8,4.6,0,1.0823080485727958,0.2619586016871239,1.0000000081749507,1.523906126213061e-07,5.763462569419175e-07
sim29_snap8.npz,29,8,4.6,0,1.1534333264827445,0.2398838818516019,1.0000000706732068,1.3828193843914604e-07,5.110972227662103e-07
sim29_snap8.npz,29,8,4.6,0,1.2245586043926935,0.21966935386577818,1.0000000591528122,1.3127958986457877e-07,4.957453343390483e-07
sim29_snap8.npz,29,8,4.6,0,1.2956838823026422,0.20115826313691218,1.0000001245909513,1.1503920754245504e-07,5.097943800436155e-07
sim44_snap21.npz,44,21,2.399996,11,0.6555563811131029,0.876962776786101,0.99999479118889,5.033055591932486e-07,6.382220498868385e-06
sim44_snap21.npz,44,21,2.399996,11,0.7266816590230517,0.864559407711471,0.9999947762763162,5.055138213568384e-07,6.460235080218979e-06
sim44_snap21.npz,44,21,2.399996,11,0.7978069369330005,0.8523314663385335,0.9999948053355565,5.099338016510705e-07,6.558132707334963e-06
