quantity,z,n_sims,in_flat_window,R_mean,R_std_across_sims,frac_spread,lin_intercept,lin_slope_Ap,lin_resid_rms,lin_frac_spread,fractional_improvement
dndx_LLS,2.2,3,0,1.275226748834288,0.033727925266791255,0.02644857104638267,1.275226748834288,53350817.85689458,0.015353704357663258,0.012039979848053222,0.5447776809212568
dndx_LLS,2.4,3,0,1.2457101361813367,0.024533765084188575,0.019694601795081822,1.245710136181337,29129552.43298375,0.015667204721013173,0.012576926418083278,0.36140235030169454
dndx_LLS,2.6,3,1,1.2226215938760827,0.01023100401861062,0.008368087125122027,1.2226215938760832,19184718.936214723,0.0014830727612201078,0.0012130268013002417,0.8550413274667533
dndx_LLS,2.8,3,1,1.193868430384606,0.008036916596880044,0.006731827722667012,1.193868430384606,14675073.921376262,0.0018753334209863216,0.0015708040963795153,0.7666600868155915
dndx_LLS,3.0,3,1,1.1865886938675383,0.013015327014378698,0.01096869292758627,1.1865886938675387,24415239.965226904,0.0018640174138815425,0.001570904411541298,0.8567828982074543
dndx_LLS,3.2,3,1,1.1501081968663147,0.015240240321193995,0.013251136165031156,1.1501081968663147,13105811.171877861,0.01110422940275621,0.009654943276651505,0.27138751300962094
dndx_LLS,3.4,3,1,1.1339518125051236,0.02051529900229798,0.018091861378990725,1.1339518125051238,39055846.11814894,0.0007036795208851363,0.0006205550475117361,0.9656997677291316
dndx_LLS,3.6,3,1,1.102695409781222,0.02052436687148179,0.018612906782258107,1.1026954097812223,39070007.024832726,0.0007349234249674162,0.0006664790824813783,0.964192638458993
dndx_LLS,3.8,3,1,1.072291906361523,0.019019492847134195,0.017737234361556185,1.0722919063615233,36151935.50963209,0.0010832317297739644,0.0010102022810650152,0.9430462348034068
dndx_LLS,4.0,3,1,1.0433172061924751,0.01927360036046496,0.01847338493611433,1.0433172061924751,36721402.184625946,0.00020076276140558545,0.00019242734636597947,0.9895835361504434
dndx_LLS,4.2,3,1,1.01788171100704,0.01850262221891998,0.01817757605705916,1.0178817110070402,35028057.7601244,0.0017127007606683997,0.0016826127654596932,0.9074347008546136
dndx_LLS,4.4,3,1,0.9934531465719827,0.018564639007515343,0.018686979926103846,0.9934531465719827,35372085.16986925,0.00013645272917118934,0.00013735195227075804,0.9926498581999924
dndx_LLS,4.6,3,1,0.9730874315806899,0.015534101802041624,0.0159637266887806,0.9730874315806899,29241260.35037661,0.001966161602653634,0.0020205395104731625,0.8734293345241742
dndx_LLS,4.8,3,0,0.9590777530353356,0.013283011081720008,0.013849774994447837,0.9590777530353358,22847373.844230894,0.004666297399684094,0.004865400521402953,0.648701836430309
dndx_LLS,5.0,3,0,0.9504679246534412,0.014063924753084926,0.014796843100426458,0.9504679246534414,19007712.300102327,0.008094517041903504,0.008516349507380715,0.4244482117178585
dndx_LLS,5.2,3,0,0.9548666336289183,0.02088918375726694,0.02187654591917066,0.9548666336289184,23170139.081222188,0.013868192404246601,0.01452369568254919,0.33610654368330084
dndx_LLS,5.4,3,0,0.9706964671145375,0.029540131243957574,0.030431893227929076,0.9706964671145376,18825834.208581097,0.022730338993055856,0.023416525930730295,0.23052681095635486
dndx_subDLA,2.2,3,0,1.3036292659597095,0.02497169008266501,0.019155515095222477,1.3036292659597095,-45737990.998594746,0.005620719839279949,0.004311593783637614,0.7749163224165684
dndx_subDLA,2.4,3,0,1.2921886670905556,0.017716358885565435,0.013710349995140366,1.2921886670905556,32964982.529202156,0.0031154136177021985,0.002410958784150885,0.8241504567713115
dndx_subDLA,2.6,3,1,1.2760007220615002,0.019037504574600763,0.014919665988780844,1.2760007220615004,36224148.63203515,0.0008189446814809817,0.0006418058135248536,0.9569825615394156
dndx_subDLA,2.8,3,1,1.2752799108258497,0.023362790274329824,0.018319735201662884,1.2752799108258497,38968863.46426607,0.009221515908661857,0.007230974024118485,0.6052904725685048
dndx_subDLA,3.0,3,1,1.279224717081294,0.01592325656209418,0.012447583563289033,1.279224717081294,27047780.722255237,0.005890552262411116,0.004604783025027161,0.6300661086857218
dndx_subDLA,3.2,3,1,1.2700957880722819,0.005706086267857379,0.004492642461650808,1.2700957880722819,6636505.502262753,0.003690388746897807,0.0029055987599950883,0.35325395136664517
dndx_subDLA,3.4,3,1,1.261126052749205,0.0052098769538967684,0.004131131017822876,1.2611260527492052,7972845.975572343,0.002534370063545629,0.0020096088396721347,0.5135451209361044
dndx_subDLA,3.6,3,1,1.2635356513394471,0.01511707904022556,0.011964109619067943,1.2635356513394471,22614371.068076342,0.007644901509415767,0.006050404277324166,0.4942871245778907
dndx_subDLA,3.8,3,1,1.259301062742483,0.014774729844291583,0.011732484217964086,1.2593010627424832,20802120.502236277,0.008128339995710625,0.006454643957822821,0.4498484858015106
dndx_subDLA,4.0,3,1,1.2524499851837918,0.007794710921613393,0.00622357061265768,1.2524499851837918,8852275.651115507,0.005110368250861281,0.0040802972664104875,0.34438001585265865
dndx_subDLA,4.2,3,1,1.2359078762568123,0.013344925146068049,0.010797669795976827,1.2359078762568125,23878975.743724052,0.0037446344196405013,0.0030298653253848142,0.7193963713806352
dndx_subDLA,4.4,3,1,1.2270556980725003,0.008393647571334484,0.0068404780520717225,1.2270556980725005,15991935.614011055,9.468096842409779e-05,7.716110081459692e-05,0.9887199256795762
