class,n_z_bins,median_frac_spread,peak_frac_spread,verdict
LLS,17,0.02341554084218314,0.0326790434249337,MF recommended
subDLA,17,0.034665706500551646,0.055452816504947586,MF recommended
DLA,17,0.04859461675441769,0.06778381862838444,MF recommended
