sim,z,Ap,ns,dndx_LLS_LF,dndx_LLS_HR,R_dndx_LLS,dndx_subDLA_LF,dndx_subDLA_HR,R_dndx_subDLA,dndx_DLA_LF,dndx_DLA_HR,R_dndx_DLA,omega_LLS_LF,omega_LLS_HR,R_omega_LLS,omega_subDLA_LF,omega_subDLA_HR,R_omega_subDLA,omega_DLA_LF,omega_DLA_HR,R_omega_DLA
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,2.0,1.29e-09,0.859,0.20285555920337353,0.26197892677131907,1.2914554957237885,0.06572565097248993,0.0849541989901046,1.292557741659538,0.03423227721431652,0.04134459102784943,1.2077663068981697,4.5676339526376706e-06,5.985169093870259e-06,1.310343419794838,5.387503762631424e-05,6.883631588433838e-05,1.2777033468040975,0.0005291776655862286,0.0005683860433195177,1.0740930320440747
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,2.2,1.29e-09,0.859,0.21738615039900788,0.27209624540427874,1.2516724037150093,0.06644629280478866,0.08819267314849664,1.327277556440903,0.037481709603933634,0.04283623954735273,1.142857142857143,4.7421971921999905e-06,6.164005732335765e-06,1.2998206279726998,5.448051573686493e-05,7.056136654766997e-05,1.2951670077514288,0.0005930550293341986,0.0006143621931432175,1.0359278022360583
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,2.4,1.29e-09,0.859,0.23243497182995254,0.28399651501595935,1.2218321226795803,0.06993685028103817,0.08894999345695884,1.2718615879828328,0.03660991505457242,0.04291636297199258,1.172260654197626,5.0758135008372065e-06,6.39914948497664e-06,1.2607140675915618,5.735549485066072e-05,7.126776968228044e-05,1.2425621968364806,0.0005271801828470136,0.0005860217704979944,1.111615704773289
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,2.6,1.29e-09,0.859,0.2481080579935846,0.300781831262526,1.2123017434214225,0.07306613998374518,0.09168756128499586,1.2548570556128096,0.03701136469805269,0.043138556939904975,1.16554894130058,5.342878074031018e-06,6.711805823537647e-06,1.2562154199550766,5.9044589566266804e-05,7.39599939838644e-05,1.252612551415194,0.0005403876118890284,0.0005828276515465197,1.0785362926976323
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,2.8,1.29e-09,0.859,0.26917516318021284,0.3193262113532361,1.1863138024344657,0.07435300888299336,0.09347378433686261,1.257162093923582,0.03669967400243893,0.04249923372578166,1.158027554221798,5.593852653270444e-06,6.949495913828499e-06,1.2423451857934582,5.969005213814904e-05,7.464698379225476e-05,1.2505766223740062,0.0005176064074281634,0.0005640063677853721,1.0896433268431833
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,3.0,1.29e-09,0.859,0.27773018509741515,0.3254266577040232,1.1717367256637166,0.07498290306105626,0.09455485715140637,1.2610188895248997,0.036817140785379295,0.042430749501274956,1.1524726960363234,5.7466739977076045e-06,7.074269530755425e-06,1.2310198096459637,6.011776970800718e-05,7.5677401409789e-05,1.2588191773805841,0.000515880617710595,0.0005530144139003438,1.07198137498273
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,3.2,1.29e-09,0.859,0.28525602712291603,0.32738292013067466,1.1476809918186452,0.0762607408003779,0.09669720144528962,1.2679814073457107,0.03651475487797992,0.04182569391864677,1.1454463834801636,5.8899383435973505e-06,7.150499707552949e-06,1.2140194498514387,6.13579691481474e-05,7.750765769020849e-05,1.2632044177190422,0.0005165066440974841,0.000534384664662661,1.034613340930814
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,3.4,1.29e-09,0.859,0.2932521431626859,0.3260618223239902,1.1118821462222108,0.07688263329587312,0.09669651317176495,1.2577159369612199,0.036134706962959236,0.041461099056233464,1.1474037716352363,5.94380223858488e-06,7.076275188949246e-06,1.1905300521293907,6.135004172219722e-05,7.753627475696205e-05,1.2638340998700324,0.0004883403772516144,0.0005302949665161459,1.0859125954332356
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,3.6,1.29e-09,0.859,0.302086531245622,0.3264443534796953,1.080631937258627,0.07644700800041737,0.09587006526715283,1.2540721707071834,0.034620220269298604,0.04135022164393037,1.194395105585159,6.0875523239258755e-06,7.025476737774715e-06,1.1540725013832767,6.089583385875331e-05,7.652653948682525e-05,1.2566793922935198,0.00046942036490395825,0.0005020299311773105,1.0694677280991507
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,3.8,1.29e-09,0.859,0.3124057589255892,0.3283598753854034,1.0510685734945566,0.07643229716372352,0.09562429920594251,1.2510980665818316,0.03380327448142347,0.04007824654034745,1.1856320772229443,6.207105851873756e-06,7.025751374547338e-06,1.1318884424093485,6.049464059101965e-05,7.688972418519006e-05,1.271017125384893,0.0004514955325170631,0.0004855382162377146,1.0753998240710498
