quantity,n,flat_mean,flat_rms,linear_intercept,linear_slope_Ap,linear_resid_rms,fractional_rms_improvement
dndx_DLA,3,1.1850448207172877,0.011180900474672099,1.185044820717288,-25912350.926717106,0.0013112616314446064,0.8827230745488716
dndx_LLS,3,1.088366425575996,0.007688081421104502,1.0883664255759962,13988844.36823541,0.0048139353281481416,0.3738443878945612
dndx_subDLA,3,1.2469257421307007,0.0012172148722419702,1.2469257421307003,-587491.6166839397,0.0011908969293380157,0.02162144375995001
dndx_total,3,1.1227035045704792,0.0072077655865340805,1.1227035045704792,14204244.022524105,0.003860591214273536,0.46438446590354
omega_DLA,3,1.0802503099838685,0.018162062718500713,1.0802503099838685,-38981929.98795154,0.007129507036488803,0.6074505882403787
omega_LLS,3,1.1545532273015944,0.006610301255562087,1.1545532273015944,11655003.882435225,0.0043304736965546296,0.3448901148172556
omega_subDLA,3,1.2563726270923956,0.002229018944944122,1.2563726270923956,-5105657.212339432,0.00042650899553309826,0.8086561819043713
omega_total,3,1.0998049038412931,0.016934900186514067,1.0998049038412931,-36657944.64179577,0.006327590487040857,0.6263579697930686
