quantity,n_z_bins,median_sigma_across_to_poisson,median_mean_R,verdict,slope_vs_Ap,R_range_frac
dndx_LLS,18,6.808560668076266,1.08331787649064,MF recommended,13988844.368235301,0.015324443700937392
omega_LLS,18,5.856098174884641,1.1499033249412594,MF recommended,11655003.882434798,0.012166410954806016
dndx_subDLA,18,1.9228273823661732,1.247764587862153,borderline,-587491.6166836709,0.0020880080127988836
omega_subDLA,18,1.5550872533868803,1.2551850754889344,borderline,-5105657.212339837,0.004025635872377548
dndx_DLA,18,1.617808189148823,1.1802019982916823,borderline,-25912350.926717106,0.02200032547585415
omega_DLA,18,3.3629829742303294,1.0855964540060927,MF recommended,-38981929.98795154,0.04028088536872628
