class,median_flat_rms,median_linear_resid_rms,median_fractional_improvement,median_abs_slope_Ap
LLS,0.0035087666066774105,0.0018757923560818615,0.34849309399731687,5036709.243483769
subDLA,0.004894071633339478,0.0026452483415523925,0.31100716003952067,6816254.800343751
DLA,0.006418359457034489,0.0033179536547931774,0.35255767780115943,9231962.987861667
